Druid,SourceID,Accession_number,Title,Location,Map_number,Extent,Dimensions,Form,Abstract,Place,Place_authorityURI,Place_URI,DateCreated,DateCreated_end,Date_qualifier,Genre,Genre_authority,Genre_URI,purls,Auth. done,Name1,INITIALS/STATUS,Name 1 notes,Name1_type,Name1_authority,Name1_URI,Role1,Role1_authority,Role1_URI,Name2,INITIALS/STATUS,Name2 notes,Name2_type,Name2_authority,Name2_URI,Role2,Role2_authority,Role2_URI,Name3,Name3 notes,Name3_type,Name3_authority,Name3_URI,Role3,Role3_authority,Role3_URI,Subject_Name3,INITIALS/STATUS,Name3 notes,Subject_Name3_type,Subject_Name3_authority,Subject_Name3_URI,Subject_Name4,INITIALS/STATUS,Subject_Name4_type,Subject_Name4_authority,Subject_Name4_URI,Subject_Name5,INITIALS/STATUS,Subject_Name5_type,Subject_Name5_authority,Subject_Name5_URI,Subject_Name6,INITIALS/STATUS,Subject_Name6_type,Subject_Name6_authority,Subject_Name6_URI,Subject_Name7,INITIALS/STATUS,Name7 notes,Subject_Name7_type,Subject_Name7_authority,Subject_Name7_URI,Subject_Name8,INITIALS/STATUS,Name8 notes,Subject_Name8_type,Subject_Name8_authority,Subject_Name8_URI,Topic1,Topic2,Topic3,Topic4,Series,Location_topic,Location_topic_tag,Location_topic_authority,Location_topic_URI,Location_topic2,Location_topic2_tag,Location_topic2_authority,Location_topic2_URI,Location_topic3,Location_topic3_tag,Location_topic3_authority,Location_topic3_URI,Location_topic4,Location_topic4_tag,Location_topic4_authority,Location_topic4_URI,Geographic1,,Geographic1_authority,Geographic1_URI,Geographic1_coordinates,west_bc,south_bc,east_bc,north_bc,Geographic2,Geographic2_authority,Geographic2_URI,Geographic3,,Geographic3_authority,Geographic3_URI,Geographic4,,Geographic4_authority,Geographic4_URI,Geographic5,,Geographic5_authority,Geographic5_URI,Geographic6,Geographic6_authority,Geographic6_URI,Geographic7,Geographic7_authority,Geographic7_URI,Geographic8,Geographic8_authority,Geographic8_URI,Geographic9,Geographic9_authority,Geographic9_URI,Geographic10,Geographic10_authority,Geographic10_URI,Geographic11,Geographic11_authority,Geographic11_URI,Geographic12,Geographic12_authority,Geographic12_URI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xj139zf1749,sc1049_m001,,Palo Alto in the late 1840s from later surveys and other sources. Includes “Notes to Accompany the Map” by Alan K. Brown.,Box A1,M001,,11 x 16 in.,photostat,One positive and one negative copy. Notes to accompany map by Alan K. Brown,Stanford (Calif.),http://id.loc.gov/authorities/names,http://id.loc.gov/authorities/names/n50046557,1963,,,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/xj139zf1749,yes,"Brown, Alan K.",,,personal,naf,http://id.loc.gov/authorities/names/n84223648,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maps from Before Stanford University,,,,,,,,,,,,,,,,,Palo Alto (Calif.),,lcsh,http://id.loc.gov/authorities/names/n81019888,"(W 122°12'08""--W 122°05'12""/N 37°27'56""--N 37°17'07"")",-122.202476,37.285346,-122.086779,37.465586,Stanford (Calif.),lcsh,http://id.loc.gov/authorities/names/n50046557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hb385hg9463,sc1049_m002,,"Map of Mayfield Grange the property of George Gordon, surveyed by Alfred Poett",Box B1,M002,,14 x 18 in.,photoprint,"From evidence in Gordon probate papers, this map was made between 1862 and 1869.",Stanford (Calif.),http://id.loc.gov/authorities/names,http://id.loc.gov/authorities/names/n50046557,1869,,approximate,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/hb385hg9463,yes,"Poett, Alfred, 1839-1910",gdg/4/20/2/15,http://burlingamefoundingfamilies.wordpress.com/poett-redington-introduction/alfred-poett/,personal,naf,http://id.loc.gov/authorities/names/no2015052157,Surveyor,marcrelator,http://id.loc.gov/vocabulary/relators/srv,,,,,,,,,,,,,,,,,,"Stanford, Leland, 1824-1893",,,personal,naf,http://id.loc.gov/authorities/names/n80107311,,,,,,,,,,,,,,,,"Gordon, George, 1818-1869",gdg/4/20/2015,"Many names exist, couldn't determine correct person",,naf,http://id.loc.gov/authorities/names/nr98009730,,,,,,,,,,,Maps from Before Stanford University,,,,,,,,,,,,,,,,,Mayfield Grange (Calif.), ,local,,"(W 122°09'11""--W 122°08'25""/N 37°25'45""--N 37°24'57"")",-122.153152,37.416033,-122.1404047,37.4294057,Stanford (Calif.),lcsh,http://id.loc.gov/authorities/names/n50046557,Palo Alto Stock Farm (Calif.),,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fw024yj6410,sc1049_m003,,"Map of the region adjacent to the Bay of San Francisco. State Geological Survey of California. Julius Bien, lith.",Map case Na1,M003,,24.5 x 36 in.,,"Extends from Point San Bruno in north to Point Anno Nuevo in South to Mount Hamilton in east.  Includes locations of individual settlers as well as ranchos, towns, and topography.",,,,1873,,,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/fw024yj6410,yes,"Bien, Julius, 1826-1909",,,personal,naf,http://id.loc.gov/authorities/names/n50041611,Lithographer,marcrelator,http://id.loc.gov/vocabulary/relators/ltg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maps from Before Stanford University,,,,,,,,,,,,,,,,,San Francisco Peninsula (Calif.),,lcsh,http://id.loc.gov/authorities/subjects/sh85117098,"(W 122°31'30""--W 121°59'00""/N 37°48'41""--N 37°13'46"")",-122.525153,37.229521,-121.983524,37.811608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jw825xc0646,sc1049_m004,,"Ayrshire Farm, levels",Box D2,M004,,26 x 20 in.,"ink on paper, mounted to cloth",,Stanford (Calif.),http://id.loc.gov/authorities/names,http://id.loc.gov/authorities/names/n50046557,1880,,approximate,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/jw825xc0646,yes,unsigned,,,,,,,,,,,,,,,,,,,,,,,,,,"Coutts, Peter, -1889",gdg,http://www.paloaltoonline.com/weekly/morgue/spectrum/1998_Dec_9.LOOKBACK.html,personal,naf,http://id.loc.gov/authorities/names/no2015053535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maps from Before Stanford University,,,,,,,,,,,,,,,,,Ayrshire Farm (Calif.),,local,,"(W 122°09'25""--W 122°08'45""/N 37°25'39""--N 37°24'58"")",-122.1570749,37.416139,-122.1459751,37.4275391,Stanford (Calif.),lcsh,http://id.loc.gov/authorities/names/n50046557,Palo Alto Stock Farm (Calif.),, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qs623sw3125,sc1049_m005,,"D. Hoag property south of Searsville Road, Santa Clara County, Plat of a survey. Herrmann Brothers",Map case Na1,M005,,26 x 23 in.,hand drawn,,Stanford (Calif.),http://id.loc.gov/authorities/names,http://id.loc.gov/authorities/names/n50046557,1876,,,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/qs623sw3125,yes,Herrmann Bros.,,,corporate,naf,http://id.loc.gov/authorities/names/n2012035370,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,,,,,,,,,,,,,,,,"Hoag, Delevan, 1827-",hkt,"http://books.google.com/books?id=FNajAAAAIAAJ&pg=PA345&lpg=PA345&dq=D.+Hoag+stanford&source=bl&ots=hKwMXg9rml&sig=9koNHtUKhapE03Oi6pMLkNDrh8Y&hl=en&sa=X&ei=gB7-U9jKDqiBiwL-8YHwDQ&ved=0CDsQ6AEwBQ#v=onepage&q=D.%20Hoag%20stanford&f=false
http://books.google.com/books?id=wYGaAAAAIAAJ&pg=PA460&lpg=PA460&dq=Delevan+Hoag+stanford&source=bl&ots=PnDueubArZ&sig=GqWHmsrsT2D9cqrRS8MvmX0-Ppk&hl=en&sa=X&ei=wB_-U-rIAaSAiwKw04GoAQ&ved=0CCMQ6AEwAQ#v=onepage&q=Delevan%20Hoag%20stanford&f=false",personal,naf,http://id.loc.gov/authorities/names/no2015052890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maps from Before Stanford University,,,,,,,,,,,,,,,,,Palo Alto Stock Farm (Calif.),,local,,"(W 122°11'03""--W 122°10'41""/N 37°25'47""--N 37°25'36"")",-122.1843279,37.42690094,-122.1781254,37.4297519,Stanford (Calif.),lcsh,http://id.loc.gov/authorities/names/n50046557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt395fp9587,sc1049_m010,,"Plat of the Rancho El Corte de Madera finally confirmed to Mazimo Martinez.  Surveyed under the orders of the U.S. Surveyor General by T.S. Stephens, Dep. Sur.",Box D2,M010,,18 x 25 1/2 in.,copy (brownish photo stat),Scale: 40 chains to an inch,Stanford (Calif.),http://id.loc.gov/authorities/names,http://id.loc.gov/authorities/names/n50046557,1857-07,,,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/pt395fp9587,yes,"Stephens, T. S. (Surveyor)",gdg/4/23/2015,No match found,personal,naf,http://id.loc.gov/authorities/names/no2015053558,Surveyor,marcrelator,http://id.loc.gov/vocabulary/relators/srv,,,,,,,,,,,,,,,,,,"Martinez, Maximo, 1792-1863",gdg/4/23/2015,http://en.wikipedia.org/wiki/Rancho_Corte_de_Madera,personal,naf, http://id.loc.gov/authorities/namesno2015053584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maps from Before Stanford University,,,,,,,,,,,,,,,,,Palo Alto Stock Farm (Calif.),,local,,"(W 122°12'13""--W 122°09'00""/N 37°29'13""--N 37°24'54"")",-122.203826,37.415133,-122.15023,37.486955,Stanford (Calif.),lcsh,http://id.loc.gov/authorities/names/n50046557,Rancho Corte de Madera (Calif.),,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zx964yr3529,sc1049_m011,,Villa land along the San Jose Railroad between Redwood City and Mountain View / Published by A. Rosenfield; Lith Britten & C.,Box D2,M011,,28 x 21 in.,printed,,Stanford (Calif.),http://id.loc.gov/authorities/names,http://id.loc.gov/authorities/names/n50046557,1868,1869,approximate,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/zx964yr3529,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maps from Before Stanford University,,,,,,,,,,,,,,,,,Palo Alto (Calif.),,lcsh,http://id.loc.gov/authorities/names/n81019888,"(W 122°13'58""--W 122°00'52""/N 37°30'15""--N 37°20'47"")",-122.240733,37.383495,-122.052383,37.496625,Stanford (Calif.),lcsh,http://id.loc.gov/authorities/names/n50046557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qd011xh8101,sc1049_m012,,"Map of the original Menlo Park Tract . . . to be sold at auction on Tuesday, May 4th, 1869 by Maurice Dore & Co. / Britten & Rey, lithographers",Map case Na1,M012,,,,,,,,1869,,,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/qd011xh8101,yes,Britton & Rey,,,corporate,naf,http://id.loc.gov/authorities/names/n50065544,Lithographer,marcrelator,http://id.loc.gov/vocabulary/relators/ltg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maps from Before Stanford University,,,,,,,,,,,,,,,,,Menlo Park (Calif.),,lcsh,http://id.loc.gov/authorities/names/n81024722,"(W 122°13'43""--W 122°07'15""/N 37°30'26""--N 37°25'06"")",-122.228677,37.418539,-122.121062,37.507323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fj301zt8797,sc1049_m014,,Plat of the Rancho Rincon de San Francisquito finally confirmed to Teodoro and Secundino Robles.... [copy],Box B2,M014,1 sheet,12 x 18 in.,thermofax copy ,This copy is very faint. Original source unknown.,,,,1863,,,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/fj301zt8797,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maps from Before Stanford University,,,,,,,,,,,,,,,,,,,,,"(W 122°14'25""--W 122°06'54""/N 37°27'59""--N 37°24'20"")",-122.24039,37.405578,-122.115032,37.466396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kr929tk0243,sc1049_m100,,Property of Leland Stanford filed in County Assessors office,Box D2,M100,,22 x 24 in.,blueprint copy,“Printed 60 years later [1949] from original cloth tracing by Baker Graphic Service.”,Stanford (Calif.),http://id.loc.gov/authorities/names,http://id.loc.gov/authorities/names/n50046557,1884-04-18,,,Maps,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026387,http://purl.stanford.edu/kr929tk0243,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stanford, Leland, 1824-1893",,,personal,naf,http://id.loc.gov/authorities/names/n80107311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maps of Stock Farm and Other Lands,,,,,,,,,,,,,,,,,Palo Alto Stock Farm (Calif.),,local,,"(W 122°12'13""--W 122°09'00""/N 37°29'13""--N 37°24'54"")",-122.203826,37.415133,-122.15023,37.486955,Stanford (Calif.),lcsh,http://id.loc.gov/authorities/names/n50046557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
